time,X_value,Y_value,Z_value
Started:,Aug. 22 2018,10:12:37:936, 
2.0050,-0.01160,0.00708,0.22412
2.0097,-0.01479,-0.01103,0.19109
2.0149,-0.01692,0.00708,0.18683
2.0186,-0.00839,-0.00250,0.21559
2.0231,-0.00414,-0.00890,0.24968
2.0273,-0.02225,-0.00145,0.24968
2.0315,-0.01692,0.00069,0.27098
2.0359,-0.00946,0.00815,0.26779
2.0412,-0.01372,0.00175,0.22945
2.0453,-0.01585,0.00708,0.21027
2.0496,-0.00839,-0.00145,0.20708
2.0537,-0.02118,0.00388,0.24542
2.0595,-0.01160,-0.01529,0.27737
2.0628,-0.02118,-0.00677,0.25926
2.0683,-0.01692,0.00708,0.21559
2.0715,-0.00200,-0.00250,0.20920
2.0784,-0.00520,-0.00145,0.19536
2.0808,0.00012,-0.00357,0.20068
2.0852,-0.01372,-0.00677,0.24329
2.1023,-0.00627,0.00601,0.28165
2.1023,-0.01053,0.00601,0.33171
2.1023,-0.01479,-0.00890,0.39989
2.1023,-0.01372,-0.00357,0.45953
2.1066,-0.01585,-0.00996,0.48297
2.1121,-0.00732,-0.01955,0.47018
2.1162,-0.02332,-0.00996,0.46486
2.1200,-0.02118,-0.00784,0.46167
2.1235,-0.02650,-0.01317,0.48085
2.1279,-0.01053,-0.01210,0.45634
2.1349,-0.02118,-0.00677,0.39775
2.1374,-0.02118,0.00708,0.36259
2.1413,-0.01053,-0.00784,0.36687
2.1468,-0.01372,-0.00038,0.33704
2.1501,-0.01692,0.00282,0.31146
2.1546,-0.01479,-0.00145,0.25714
2.1605,-0.01479,-0.00890,0.22731
2.1642,-0.00839,-0.00357,0.16766
2.1699,-0.01372,-0.00890,0.09521
2.1725,-0.01266,0.00069,0.04196
2.1771,-0.01372,0.00601,0.03130
2.1805,-0.01904,0.00920,0.06219
2.1847,-0.01266,-0.00784,0.09096
2.1896,-0.01479,0.02838,0.11440
2.1935,-0.01585,0.01880,0.11972
2.2007,-0.01372,0.00815,0.08031
2.2079,-0.00839,0.02306,0.10054
2.2116,-0.01479,0.01559,0.14955
2.2125,-0.02011,0.00815,0.19641
2.2333,-0.01479,-0.00996,0.22731
2.2334,-0.00307,0.00388,0.30295
2.2334,-0.02864,0.03477,0.37645
2.2335,-0.01692,-0.00677,0.45953
2.2362,-0.00839,-0.03552,0.49683
2.2398,-0.00200,-0.02699,0.54050
2.2426,-0.02332,-0.00038,0.50748
2.2472,-0.01692,-0.02806,0.46806
2.2512,-0.00732,-0.00996,0.41905
2.2559,-0.02544,-0.00677,0.36366
2.2592,-0.01372,-0.03020,0.28697
2.2638,-0.01372,-0.01849,0.22412
2.2696,-0.01479,-0.02060,0.16660
2.2732,-0.02011,0.00708,0.09947
2.2793,-0.02864,0.03371,0.07710
2.2820,-0.02864,0.02092,0.05368
2.2872,-0.02011,0.00708,-0.00703
2.2909,-0.02011,0.00920,-0.02194
2.2956,-0.01372,0.00282,-0.04538
2.3005,-0.02225,0.01134,-0.10504
2.3041,-0.01692,0.00282,-0.14018
2.3091,-0.01160,0.00815,-0.15511
2.3130,-0.01160,0.01134,-0.13380
2.3176,-0.01479,-0.00250,-0.08267
2.3230,-0.01479,0.01454,-0.03473
2.3261,-0.00627,-0.00571,-0.00810
2.3344,-0.01372,-0.00677,0.03130
2.3391,-0.02011,-0.00038,0.00255
2.3401,-0.02437,-0.00145,-0.04964
2.3454,-0.02225,-0.01529,-0.07095
2.3590,-0.02544,0.00175,-0.15936
2.3590,-0.01479,0.00175,-0.22542
2.3590,-0.00414,0.00069,-0.28400
2.3621,-0.01479,0.00069,-0.35217
2.3659,-0.01372,0.00069,-0.40225
2.3696,-0.00946,-0.00145,-0.45551
2.3744,-0.01053,0.00282,-0.49492
2.3800,-0.01479,0.00601,-0.47043
2.3828,-0.01904,0.01773,-0.43846
2.3876,-0.01372,0.00708,-0.41930
2.3911,-0.02225,0.00601,-0.39053
2.3952,-0.01053,-0.01210,-0.36710
2.3999,-0.02437,-0.00038,-0.31169
2.4042,-0.01692,0.00175,-0.27335
2.4091,-0.00307,-0.00784,-0.22328
2.4142,-0.01479,0.01454,-0.22008
2.4187,-0.01799,0.02092,-0.19131
2.4228,-0.01160,-0.00464,-0.16043
2.4342,-0.01160,0.00494,-0.10930
2.4367,-0.01692,0.01559,-0.04112
2.4368,-0.02332,0.00494,0.04941
2.4402,0.00333,-0.00784,0.15062
2.4443,-0.00200,-0.01103,0.24117
2.4489,-0.00307,-0.02167,0.30721
2.4544,-0.00946,0.00175,0.40735
2.4598,-0.00946,-0.00250,0.50854
2.4868,-0.01160,0.00920,0.54050
2.4868,-0.00200,-0.01636,0.54582
2.4870,-0.00095,-0.00677,0.53517
2.4870,0.00119,-0.00677,0.52559
2.4870,0.00438,-0.00464,0.45209
2.4870,-0.00095,0.00920,0.38177
2.4884,-0.00307,0.00175,0.29974
2.4944,0.00012,0.00282,0.23264
2.4967,0.00119,-0.00038,0.15700
2.5008,-0.00627,-0.00038,0.06113
2.5053,-0.00627,-0.00250,-0.00278
2.5096,-0.00414,0.01666,-0.08479
2.5145,-0.00414,-0.00250,-0.14552
2.5216,-0.00946,-0.00038,-0.19878
2.5235,-0.00414,-0.00145,-0.22861
2.5285,-0.00520,0.00282,-0.27228
2.5320,-0.00946,0.01027,-0.29997
2.5367,-0.00095,0.00920,-0.31383
2.5420,-0.00520,-0.00890,-0.30957
2.5452,-0.00732,-0.00571,-0.31064
2.5497,-0.00732,0.00920,-0.35005
2.5548,-0.00839,0.00815,-0.36282
2.5591,-0.01266,-0.00464,-0.36815
2.5643,-0.00627,0.00282,-0.40118
2.5677,-0.01692,0.00282,-0.42567
2.5726,-0.00732,0.00494,-0.44911
2.5762,-0.00095,0.01027,-0.46190
2.5807,-0.00732,-0.00145,-0.50131
2.5900,0.00438,0.00601,-0.54393
2.5901,-0.00839,0.01987,-0.59293
2.5941,-0.00095,0.00815,-0.62915
2.6094,0.00757,0.01347,-0.65471
2.6095,-0.00307,0.00388,-0.66110
2.6109,-0.00095,0.00815,-0.64938
2.6114,0.00438,0.01666,-0.62595
2.6157,-0.00095,0.00601,-0.60464
2.6238,-0.00414,0.00069,-0.59718
2.6238,-0.00627,0.01241,-0.61530
2.6303,-0.00732,0.00920,-0.62276
2.6334,-0.00414,-0.00038,-0.63554
2.6371,0.00650,0.01134,-0.64513
2.6413,-0.00520,0.01880,-0.63448
2.6456,-0.00414,0.00601,-0.61317
2.6508,0.00226,0.01134,-0.61211
2.6546,0.00438,0.01666,-0.64192
2.6590,-0.00095,0.01134,-0.63660
2.6642,-0.00414,0.00815,-0.63234
2.6683,-0.01372,0.01241,-0.62595
2.6740,-0.00095,0.00282,-0.59506
2.6776,0.00543,-0.00038,-0.61423
2.6816,0.00650,0.01559,-0.79745
2.6860,-0.01053,0.01241,-0.89865
2.6905,0.00119,0.01347,-0.81238
2.6959,-0.00200,0.01987,-0.67282
2.6999,-0.00095,0.00069,-0.61104
2.7045,-0.00732,0.01773,-0.58867
2.7084,0.00543,0.01347,-0.60678
2.7172,0.00119,0.00282,-0.62383
2.7207,-0.00414,0.02412,-0.61104
2.7219,-0.00627,0.01666,-0.55032
2.7395,-0.00095,0.01347,-0.48959
2.7396,-0.00200,0.01134,-0.42995
2.7396,-0.00520,-0.00250,-0.35005
2.7433,-0.00095,0.00175,-0.27548
2.7433,-0.00095,0.00494,-0.20624
2.7474,0.00543,-0.00357,-0.15723
2.7536,0.00650,0.01134,-0.12102
2.7554,-0.01053,-0.00571,-0.08693
2.7602,0.00226,-0.00357,-0.04752
2.7641,-0.00200,-0.01210,-0.03366
2.7686,0.00650,-0.00996,-0.00916
2.7742,-0.01160,-0.00996,0.00043
2.7777,0.00438,-0.00145,-0.01022
2.7828,-0.00627,-0.00250,0.00150
2.7863,-0.00200,-0.00890,-0.00490
2.7910,-0.00095,0.00601,-0.00064
2.7953,0.00438,0.00388,-0.00383
2.8001,0.00012,0.01027,0.00043
